census_tract,income,crime_rate_property,ownership_rate,non_english_french,move_rate,immigration_rate,unemployment_rate
535011800,69962,0.04021870076925215,0.17097581317764804,0.22796775090353072,0.16402557686961355,0.24325827078120657,0.04309146510981374
535011900,67505,0.017286439665546594,0.17921146953405018,0.2206541218637993,0.16129032258064516,0.3057795698924731,0.043682795698924734
535012000,91944,0.03585131894460432,0.3345323741007194,0.10431654676258993,0.10431654676258993,0.20863309352517986,0.03597122302158273
535012100,87206,0.041950665368549175,0.36270691333982474,0.17039922103213243,0.15579357351509251,0.26777020447906524,0.024342745861733205
535012200,71192,0.013215201956864148,0.21299445140504744,0.18704134598174332,0.24163236083765885,0.2863790943261142,0.03221764811168785
535012300,46950,0.010662431941923775,0.029491833030852996,0.29945553539019965,0.31533575317604357,0.367513611615245,0.05671506352087114
535012400,61998,0.03649749373439849,0.18327067669172933,0.20958646616541354,0.17293233082706766,0.30545112781954886,0.02537593984962406
535012500,179935,0.014304872597228431,0.27380420205632544,0.08717031738936075,0.11175681716584712,0.17545820295037998,0.029056772463120252
535012600,89456,0.022843614026106986,0.3071410289224469,0.13949321730227796,0.07294599436908114,0.1983619145124136,0.0473509086255439
535012700,91045,0.019845971563981043,0.30312006319115326,0.17673775671406003,0.13033175355450238,0.23992890995260663,0.02962085308056872
535012802,56747,0.023794160348443297,0.18228746572027746,0.25810614615260524,0.2169704791095338,0.33957089853202127,0.027423778028714308
535012803,49560,0.03276277553327663,0.10525196682968319,0.41250265787795026,0.2891771209866043,0.4486497980012758,0.04571550074420583
535012804,56493,0.019287320532693306,0.21925272444213803,0.260768033212247,0.2309289050337312,0.35806953814218995,0.050596782563570315
535012900,83158,0.028400597907256422,0.2119853240929474,0.15491235222176927,0.17835303709743172,0.1895637994292703,0.03261312678353037
535013000,137150,0.023163082437365593,0.2567204301075269,0.1532258064516129,0.11693548387096774,0.20967741935483872,0.01881720430107527
535013100,83041,0.01386024126514157,0.25126570410650667,0.19782486405400337,0.14344646540408776,0.24939058691168198,0.030939433714607164
535013200,71103,0.013591433278418451,0.1812191103789127,0.3276587955335896,0.13271096467142596,0.34596375617792424,0.03752516932088596
535013300,48763,0.01430976430976431,0.11418533157663592,0.3681744986092812,0.19616454399063094,0.38866930171277997,0.03586590543112282
535013400,117073,0.022425249169435217,0.2731635289774825,0.15503875968992248,0.15134736064968624,0.19010705057216684,0.02768549280177187
535013500,57566,0.040466821677696295,0.19585047397603292,0.23072795564299767,0.1681273475228045,0.2682883205151136,0.03398318726524772
535013601,43356,0.017764986105597458,0.007939658594680429,0.3652242953552997,0.3056768558951965,0.42377927749106786,0.03374354902739182
535013602,41724,0.0436578546009151,0.0838840874428063,0.340620233858668,0.20081342145399084,0.42069140823589224,0.05338078291814947
535013700,63422,0.023414542928834752,0.2444301971469787,0.2147780092963616,0.1538708126302292,0.311748677672704,0.028850777368167976
535013800,126523,0.024054430515268403,0.274831243972999,0.13821922211507554,0.0707168113146898,0.1751848280295725,0.01767920282867245
535013900,100580,0.018298942613643364,0.2725592854943024,0.16168771173390822,0.18170619032953494,0.21789344009855252,0.028487834924545735
535014000,246341,0.01721050537206526,0.27457222443294865,0.08754476721050537,0.1293274970155193,0.13529645841623558,0.035813768404297654
535014101,99006,0.0257643922351912,0.31992001999500125,0.17120719820044988,0.11997000749812547,0.21619595101224695,0.02749312671832042
535014102,110818,0.023470948012155962,0.3038990825688073,0.11811926605504587,0.11697247706422019,0.15022935779816513,0.03096330275229358
535014200,93341,0.017879237812360803,0.2654046028210839,0.17724573125463994,0.14569413511507054,0.223645137342242,0.02505567928730512
535015000,94390,0.020864505403241897,0.29800498753117205,0.2730673316708229,0.09725685785536159,0.2518703241895262,0.03366583541147132
535015100,36225,0.011007957559681697,0.16710875331564987,0.4509283819628647,0.16047745358090185,0.4389920424403183,0.08090185676392574
535015200,73039,0.03617069831127339,0.32633500684618894,0.35714285714285715,0.10041077133728891,0.3400273847558193,0.02624372432679142
