CTW_190,SLM_01,CTW_140A,DUR07,AGEGR10,SEX,MARSTAT,CXRFLAG,HHINCG1,LUC_RST,PRV
6,8,6,40,4,2,1,2,4,1,24
3,5,2,0,1,2,6,2,2,1,35
6,7,6,150,4,1,1,2,6,2,13
3,9,2,45,1,2,6,2,6,1,48
1,4,1,180,4,2,6,2,4,1,35
6,8,6,85,2,2,1,1,4,2,46
6,8,6,0,5,2,1,1,3,1,48
6,8,6,0,6,1,1,2,3,1,24
4,1,1,525,5,2,3,2,2,2,35
6,9,6,60,6,1,5,2,1,1,24
6,10,6,0,6,1,5,2,2,1,13
6,9,6,35,6,2,1,2,6,1,47
4,8,1,60,2,1,2,2,8,1,47
6,10,6,0,6,2,1,1,8,1,35
6,8,6,40,6,2,1,2,2,1,35
6,10,6,520,5,2,1,2,8,1,13
4,9,1,50,3,2,4,1,2,1,24
6,10,6,145,5,2,1,1,4,1,35
4,10,1,55,2,1,2,2,5,2,24
6,10,6,30,6,1,2,2,2,1,13
6,8,2,120,5,1,1,2,7,1,46
4,8,1,95,3,1,1,1,3,1,24
1,9,1,110,5,1,1,1,8,1,35
1,4,1,120,3,1,1,1,5,2,46
4,5,2,10,1,2,6,2,3,1,24
6,8,6,30,5,1,1,2,8,1,24
4,10,1,40,4,2,1,2,8,1,12
6,9,6,0,7,2,6,2,4,1,46
1,7,1,0,6,2,1,2,7,1,59
3,9,1,100,4,2,1,1,8,1,35
4,9,1,40,3,1,1,2,6,1,59
4,8,1,120,3,1,1,1,5,1,24
1,8,1,100,4,2,1,1,8,1,46
6,8,6,175,5,2,1,2,7,3,11
6,7,6,140,3,2,1,1,8,1,59
4,10,1,30,5,1,1,2,8,1,35
2,7,1,165,5,2,6,1,5,1,35
4,8,1,25,4,2,2,1,7,2,24
4,8,1,0,3,1,6,2,3,1,59
4,7,1,30,4,2,1,1,8,2,48
4,8,1,70,2,2,1,1,4,1,12
6,97,6,95,6,1,6,2,5,2,35
6,10,6,85,6,2,1,2,4,3,11
1,6,1,100,4,2,1,1,8,1,35
6,10,6,40,6,2,3,2,7,1,35
6,7,6,70,7,2,3,2,2,1,59
4,10,1,30,4,1,1,2,2,1,35
6,10,6,20,5,2,1,2,3,1,24
6,8,6,60,5,1,2,1,7,1,24
6,10,6,40,5,1,1,2,4,1,35
6,8,6,490,4,2,1,2,7,2,47
6,10,6,0,6,2,5,2,3,1,48
4,8,1,30,4,2,1,1,6,1,35
6,9,6,35,7,2,1,1,4,2,24
6,5,6,0,1,2,6,2,8,1,12
6,8,2,285,5,2,3,2,3,2,24
3,10,1,55,3,2,1,1,4,1,24
6,10,2,10,3,2,1,2,5,2,59
4,6,1,50,2,1,2,2,6,2,24
6,9,6,60,6,1,3,2,7,1,35
1,10,1,115,6,2,5,2,4,1,35
6,8,6,0,3,2,6,1,1,1,59
4,6,1,90,5,1,1,2,5,1,35
6,99,6,30,2,1,6,2,3,1,35
6,10,6,0,6,1,3,2,4,1,24
6,99,6,0,5,2,1,2,8,1,35
6,6,6,0,5,1,6,2,2,1,24
6,3,2,40,1,2,6,2,3,1,35
4,8,1,170,4,1,1,1,8,1,47
1,8,1,215,3,1,6,2,7,1,24
2,6,1,155,4,1,1,1,7,1,35
6,10,6,50,7,2,1,2,2,1,59
4,7,1,20,2,2,2,2,8,1,10
1,8,1,100,5,2,6,2,3,1,59
6,99,6,130,1,1,6,2,1,2,46
6,7,6,180,6,2,5,2,2,2,13
4,9,1,30,2,1,1,1,7,1,47
1,8,1,90,1,1,2,2,2,1,59
1,6,1,0,1,2,6,2,8,2,13
4,10,2,390,5,1,6,2,2,2,10
6,99,6,30,6,1,6,2,1,1,12
6,9,6,90,6,2,3,2,1,2,46
4,10,1,50,5,1,1,2,8,1,10
6,10,6,0,6,2,2,1,8,1,35
1,9,1,90,3,2,1,1,8,1,13
3,9,1,210,3,2,6,2,4,1,35
1,8,1,85,4,2,6,2,3,1,35
6,9,2,100,5,1,1,1,8,1,35
6,7,2,30,1,1,6,2,8,1,48
6,10,6,0,7,1,5,2,3,3,11
6,6,6,30,5,2,1,1,4,1,59
2,7,1,135,3,2,6,2,6,1,59
